Company,Industry,Funding_Amount_USD,Investor,Year,City,Standard_Industry,Total_Funding_USD,Avg_Funding_USD,Funding_Rounds,First_Funding_Year,Latest_Funding_Year,Month,Quarter,Startup_Age_2026,GDP_Growth,Inflation,FDI_Inflow,Sector_Funding_YoY_Growth
Ola Cabs,Gaming,63000000,Accel,2017,Gurgaon,Media & Entertainment,915000000,152500000.0,6,2013,2025,9,3,13,6.8,3.33,44.8,10.923076923076923
Boat,E-commerce,154000000,Y Combinator,2025,Mumbai,E-Commerce & Retail,1136000000,189333333.33333334,6,2010,2025,5,2,16,7.0,4.5,48.0,0.1952191235059761
Navi,Insurance,246000000,Naspers,2025,Chennai,FinTech,579000000,144750000.0,4,2012,2025,5,2,14,7.0,4.5,48.0,-0.29512893982808025
Delhivery,SaaS,102000000,Steadview Capital,2022,Mumbai,SaaS & Enterprise,1119000000,124333333.33333333,9,2013,2024,10,4,13,7.24,6.7,46.0,-0.17826825127334464
NoBroker,Gaming,146000000,Matrix Partners,2012,Mumbai,Media & Entertainment,1128000000,225600000.0,5,2012,2023,9,3,14,7.0,4.5,45.0,0.0
Moglix,Hospitality,149000000,Bessemer Venture,2010,Noida,Travel & Hospitality,1282000000,160250000.0,8,2010,2025,7,3,16,7.0,4.5,45.0,0.0
ShareChat,Healthcare,233000000,WestBridge Capital,2014,Pune,HealthTech & BioTech,828000000,118285714.28571428,7,2011,2021,10,4,15,7.0,4.5,45.0,-0.40561224489795916
CureFit,SaaS,238000000,Alibaba,2022,Hyderabad,SaaS & Enterprise,1529000000,169888888.8888889,9,2011,2025,8,3,15,7.24,6.7,46.0,-0.17826825127334464
PolicyBazaar,FoodTech,124000000,Matrix Partners,2022,Delhi,FoodTech & AgriTech,763000000,190750000.0,4,2010,2022,1,1,16,7.24,6.7,46.0,0.84472049689441
Moglix,Transportation,202000000,Alibaba,2022,Pune,Logistics & Mobility,1282000000,160250000.0,8,2010,2025,7,3,16,7.24,6.7,46.0,-0.07451923076923077
Nykaa,SaaS,56000000,Sequoia Capital,2020,Mumbai,SaaS & Enterprise,299000000,149500000.0,2,2020,2025,6,2,6,-5.83,6.62,64.9,0.30313588850174217
Mamaearth,E-commerce,78000000,Steadview Capital,2010,Pune,E-Commerce & Retail,992000000,165333333.33333334,6,2010,2025,10,4,16,7.0,4.5,45.0,0.0
Moglix,Retail,140000000,SoftBank,2025,Gurgaon,E-Commerce & Retail,1282000000,160250000.0,8,2010,2025,7,3,16,7.0,4.5,48.0,0.1952191235059761
Dream11,Healthcare,173000000,Matrix Partners,2012,Chennai,HealthTech & BioTech,481000000,96200000.0,5,2012,2020,8,3,14,7.0,4.5,45.0,0.47924528301886793
CureFit,Logistics,40000000,Alibaba,2011,Pune,Logistics & Mobility,1529000000,169888888.8888889,9,2011,2025,8,3,15,7.0,4.5,45.0,0.0
Delhivery,Retail,51000000,Y Combinator,2017,Noida,E-Commerce & Retail,1119000000,124333333.33333333,9,2013,2024,10,4,13,6.8,3.33,44.8,1.5174418604651163
Infra.Market,E-commerce,90000000,Lightspeed India,2024,Gurgaon,E-Commerce & Retail,543000000,90500000.0,6,2010,2024,1,1,16,8.2,4.8,45.0,0.5736677115987461
ShareChat,Transportation,155000000,Sequoia Capital,2011,Hyderabad,Logistics & Mobility,828000000,118285714.28571428,7,2011,2021,10,4,15,7.0,4.5,45.0,0.0
BigBasket,Hospitality,276000000,Accel,2017,Mumbai,Travel & Hospitality,276000000,276000000.0,1,2017,2017,10,4,9,6.8,3.33,44.8,0.4838709677419355
Moglix,Healthcare,94000000,Y Combinator,2015,Mumbai,HealthTech & BioTech,1282000000,160250000.0,8,2010,2025,7,3,16,7.0,4.5,45.0,-0.5965665236051502
BYJU's,Healthcare,259000000,Falcon Edge,2017,Chennai,HealthTech & BioTech,1245000000,177857142.85714287,7,2012,2021,7,3,14,6.8,3.33,44.8,-0.10643564356435643
Cars24,Fintech,240000000,Info Edge,2018,Pune,FinTech,882000000,176400000.0,5,2014,2023,7,3,12,6.45,3.94,42.1,-0.5911413969335605
Freshworks,Retail,284000000,Sequoia Capital,2019,Pune,E-Commerce & Retail,1530000000,139090909.0909091,11,2010,2023,11,4,16,3.87,3.73,50.6,-0.16158940397350993
Unacademy,E-commerce,222000000,General Atlantic,2019,Hyderabad,E-Commerce & Retail,704000000,176000000.0,4,2010,2019,10,4,16,3.87,3.73,50.6,-0.16158940397350993
Freshworks,SaaS,201000000,Falcon Edge,2016,Noida,SaaS & Enterprise,1530000000,139090909.0909091,11,2010,2023,11,4,16,8.26,4.9,43.4,-0.03951367781155015
Groww,E-commerce,299000000,Info Edge,2021,Chennai,E-Commerce & Retail,877000000,146166666.66666666,6,2013,2024,6,2,13,9.05,5.13,59.6,4.035714285714286
Meesho,Insurance,145000000,Naspers,2022,Bangalore,FinTech,665000000,95000000.0,7,2012,2023,7,3,14,7.24,6.7,46.0,0.5458515283842795
Ola Cabs,Healthcare,151000000,Falcon Edge,2025,Bangalore,HealthTech & BioTech,915000000,152500000.0,6,2013,2025,9,3,13,7.0,4.5,48.0,-0.47017543859649125
UrbanClap,Healthcare,102000000,Lightspeed India,2017,Hyderabad,HealthTech & BioTech,1044000000,174000000.0,6,2011,2022,10,4,15,6.8,3.33,44.8,-0.10643564356435643
Acko,EdTech,25000000,Y Combinator,2013,Mumbai,EdTech,644000000,161000000.0,4,2012,2016,5,2,14,7.0,4.5,45.0,2.504
ShareChat,Services,72000000,General Atlantic,2021,Bangalore,SaaS & Enterprise,828000000,118285714.28571428,7,2011,2021,10,4,15,9.05,5.13,59.6,0.5748663101604278
BYJU's,EdTech,107000000,Alibaba,2015,Chennai,EdTech,1245000000,177857142.85714287,7,2012,2021,7,3,14,7.0,4.5,45.0,2.215686274509804
CRED,Services,89000000,Steadview Capital,2018,Hyderabad,SaaS & Enterprise,328000000,82000000.0,4,2013,2023,5,2,13,6.45,3.94,42.1,2.2804232804232805
Freshworks,SaaS,63000000,Lightspeed India,2020,Noida,SaaS & Enterprise,1530000000,139090909.0909091,11,2010,2023,11,4,16,-5.83,6.62,64.9,0.30313588850174217
Boat,E-commerce,290000000,SoftBank,2022,Delhi,E-Commerce & Retail,1136000000,189333333.33333334,6,2010,2025,5,2,16,7.24,6.7,46.0,-0.4858156028368794
CarDekho,E-commerce,140000000,Lightspeed India,2010,Chennai,E-Commerce & Retail,717000000,119500000.0,6,2010,2025,9,3,16,7.0,4.5,45.0,0.0
CureFit,E-commerce,200000000,General Atlantic,2018,Hyderabad,E-Commerce & Retail,1529000000,169888888.8888889,9,2011,2025,8,3,15,6.45,3.94,42.1,0.74364896073903
CarDekho,E-commerce,17000000,Y Combinator,2025,Delhi,E-Commerce & Retail,717000000,119500000.0,6,2010,2025,9,3,16,7.0,4.5,48.0,0.1952191235059761
Acko,Gaming,242000000,Alibaba,2012,Delhi,Media & Entertainment,644000000,161000000.0,4,2012,2016,5,2,14,7.0,4.5,45.0,0.0
ShareChat,Retail,28000000,Accel,2014,Gurgaon,E-Commerce & Retail,828000000,118285714.28571428,7,2011,2021,10,4,15,7.0,4.5,45.0,-0.25862068965517243
